E1,Relation,E2
prevention strategies,can be predicted,individual response
therapeutic intervention strategies,can be predicted,individual response
model,accurately predicts,individual stage progression
postmortem brain tissue,from,individual with FTLD due to the V337M MAPT mutation
causal mediation analysis,requires,individual-level data
robust tools,to predict,individualized trajectories of tau accumulation
individuals who benefit from antiamyloid therapies,would be identified,individuals
motor dysfunction,in,individuals affected by Alzheimer's disease
factors associated with tau burden,understanding,individuals at elevated risk
understanding factors associated with tau burden,may help identify,individuals at elevated risk
understanding of factors associated with tau burden,helps identify,individuals at elevated risk
protective role of HDL-C,in,individuals at increased genetic risk due to APOE4
computational modeling framework,to stratify,individuals into risk zones
platform,identifying,individuals likely to benefit from anti-Aβ treatments
platform,in identifying,individuals likely to benefit from anti-Aβ treatments
strong predictive power,in identifying,individuals likely to benefit the most from anti-Aβ treatments
causal effect,was inferred in,individuals of European ancestry
advanced tau pathology,with,individuals with advanced tau pathology
brain hypometabolism,in,individuals with Alzheimer's disease dementia
Alzheimer's disease biomarkers,impact of,individuals with cognitive impairment
attention-deficit/hyperactivity disorder,on,individuals with cognitive impairment
impact of eGFR on AD biomarker levels,was more robust in,individuals with cognitive impairment
causes of depressive symptoms,may differ between,individuals with dementia
depressive symptoms,different causes than those in,individuals with dementia
different biological factors,in,individuals with dementia
disease progression,in,individuals with dementia
underlying causes of depressive symptoms,may differ between,individuals with dementia
disease progression,in,individuals with Down syndrome
negative impact of Apolipoprotein allele 4,was stronger in,individuals with low pIQ for processing speed
causes of depressive symptoms,may differ between,individuals with mild cognitive impairment
depressive symptoms,in,individuals with mild cognitive impairment
different biological factors,in,individuals with mild cognitive impairment
obstructive sleep apnea PRS,was significantly associated with,individuals with mild cognitive impairment
underlying causes of depressive symptoms,may differ between,individuals with mild cognitive impairment
executive function deficits,in,individuals with mild cognitive impairment (MCI) or Alzheimer's disease (AD) dementia
obstructive sleep apnea PRS,was significantly associated with,individuals with mild cognitive impairment MCI
causes of depressive symptoms,may differ between,individuals with normal cognition
depressive symptoms,different causes than those in,individuals with normal cognition
different biological factors,in,individuals with normal cognition
underlying causes of depressive symptoms,may differ between,individuals with normal cognition
Alzheimer's disease-related cognitive decline,is predicted among,individuals with subjective cognitive decline
Alzheimer's disease-related cognitive decline,among,individuals with subjective cognitive decline or mild cognitive impairment
future AD,risk of,individuals with Subjective cognitive decline reflecting SCD-plus features
future all-cause dementia,risk of,individuals with Subjective cognitive decline reflecting SCD-plus features
future MCI,risk of,individuals with Subjective cognitive decline reflecting SCD-plus features
APOE4-related cognitive and olfactory impairment,in,individuals with T2DM
more tau accumulation,in,individuals with the APOE-ε4 gene
biological causes of depressive symptoms,understanding,individuals with varying cognitive statuses
different biological causes,in,individuals with varying cognitive statuses
Treatments,due to,inefficacy
causal effect,between,infectious mononucleosis
Twenty-two single nucleotide polymorphisms,were significantly and strongly associated with,infectious mononucleosis
higher baseline tau,in the,inferior temporal region
higher baseline pulse pressure,was significantly associated with,inferior temporal tau
AD,causes,inflammation
influence of sRANKL and OPG levels on Alzheimer's disease,was independent of,inflammation
pathological tau,was associated with,inflammation
subnetwork,is associated with,inflammation
condition,is associated with,inflammation at the maternal-fetal interface
Alzheimer's disease pathology biomarkers,are associated with,inflammatory biomarkers
biomarkers of Alzheimer's disease pathology,are associated with,inflammatory biomarkers
Inflammatory bowel disease,was not genetically associated with,Inflammatory bowel disease subtypes
inflammatory bowel disease subentities,were not genetically associated with,inflammatory bowel disease subtypes
CSF α-synuclein,influenced via,inflammatory pathways
CSF α-synuclein influence,is via,inflammatory pathways
CSF p-tau181 levels,were influenced via,inflammatory pathways
CSF t-tau levels,were influenced via,inflammatory pathways
influence of CSF α-synuclein on CSF t-tau and p-tau181 levels,is via,inflammatory pathways
cognitive reserve,attenuates,influence of accumulating AD pathology on cognition
hypometabolism,mediated,influence of alpha-synuclein on disease severity
blood low-density lipoprotein cholesterol,synergistically enhances,influence of cerebral beta-amyloid deposition on tau deposition pathology
goal,was to investigate,influence of circadian rhythms on cognition
ALZAN cohort,was used to evaluate,influence of confounding factors
linear regression,was used to assess,influence of CSF determined Aβ-plaque (Aβ-/+) or neurofibrillary tau tangles (Tau-/+) on 4MT and CERAD recall performance
mechanisms by which lead affects neurodevelopment,are attributed to,influence of lead on the movement of calcium ions
AD,was developed by,influence of sleep
functional connectivity,influences,influence of tau accumulation
functional connectivity,partially modulates,influence of tau accumulation on downstream glucose metabolism
functional connectivity,partially modulated,influence of tau accumulation on glucose metabolism
functional connectivity,influences,influence of tau accumulation on glucose metabolism
functional connectivity,partially influenced,influence of tau accumulation on glucose metabolism
factors,were evaluated to assess,influence on brain amyloidosis biomarker concentrations
exposure to fine particulate matter (PM(2.5)),was the main cause of,influence on the profile of gut microbiota
acetylation,was examined for,influence on the susceptibility of P301L (PL) pathologic tau to seeds
cerebrospinal fluid VILIP-1,mediated,influences of body mass index on cerebrospinal fluid tau pathology
confirmation of a causal connection,is impeded by,inherent limitations of such studies
Traditional Oriental Medicines,had the effects of,inhibition of tau K18 aggregation
thioflavin T assay,was used to assess,inhibition of tau K18 aggregation by Traditional Oriental Medicines
thioflavin T assay,assesses,inhibition of tau K18 aggregation caused by Traditional Oriental Medicines
downstream markers of disease,are related to,initial stage of Alzheimer's disease
tau protein phosphorylation,to,injurious
tau protein phosphorylation transition,to,injurious
transition of tau protein phosphorylation,to,injurious
dementia,caused by,injury
genetic pathways that influence longitudinal heterogeneous changes in Alzheimer's disease,may provide,insight into disease mechanisms and potential therapeutic targets
our findings,provide,insight into dysregulated pathways
our findings,provide,insight into understanding how biological processes reflecting circulating biomarkers and their associated effects may contribute to disease etiology
co-occurring phospho-epitopes,in,insoluble fraction
co-occurring phospho-epitopes,are associated with,insoluble fraction
tauopathy,in,insoluble fraction
it,contributes to,institutionalisation
Causal IDPs for brain disorders,were identified using,instrumental variable (IV) approach
causal IDPs for brain disorders,using,instrumental variable (IV) approach
methods in imaging genetics,adopted,instrumental variable (IV) approach
genetic variants,selected as,instrumental variables
single-nucleotide polymorphisms (SNPs),recognized as,instrumental variables (IVs)
Twenty-two single nucleotide polymorphisms,were used as,instrumental variables in the MR analysis
Ferritin,was associated with,instruments
essential nutrients,like,insulin
diabetes,is a cause of,insulin deficiency
insulin dysfunction,is associated with,insulin deficiency
Streptozotocin administration,led to,insulin deficiency in the younger mice
rodent models,to explore the impact of,insulin deficiency on Alzheimer's disease pathology
AD,associated with,insulin impairment
Alzheimer's disease,associated with,insulin impairment
Alzheimer's disease,is associated with,insulin resistance
Alzheimer's disease,associated with,insulin resistance
defects in the HMGA1 gene,are associated with,insulin resistance
HMGA1 deficiency,through,insulin resistance
HMGA1 deficiency,may contribute to,insulin resistance
HMGA1 gene defects,are associated with,insulin resistance
HMGA1 rs146052672 variant,is known to increase the risk of,insulin resistance
HMGA1 rs146052672 variant,increase the risk of,insulin resistance
increased VCAM1 expression,is associated with,insulin resistance
increased VCAM1 expression,is due to,insulin resistance
Type 2 diabetes (T2D),is associated with,insulin resistance
Type 2 diabetes mellitus (T2DM),characterized by,insulin resistance
VCAM1 expression,is caused by,insulin resistance
VCAM1 expression increase,occurs due to,insulin resistance
Apolipoprotein E with ε2 allele,influence,insulin resistance-like pathways
Apolipoprotein E with ε2 allele,strengthens,insulin resistance-like pathways
influence of Apolipoprotein E with ε2 allele,strengthens,insulin resistance-like pathways
Diabetes,is associated with,insulin therapy
insulin deficiency,is a cause of,insulin therapy
insulin dysfunction,is associated with,insulin therapy
IGF1R signaling,impact on,insulin trafficking
worsening the disease,is a risk that,insulin-based therapies
desensitizing insulin signaling,is a risk that,insulin-based therapies can cause
novel association,with,integrity of BBB function
cardiac arrest patients,in,intensive care
patients who had survived a cardiac arrest,were in,intensive care
integrity of BBB function,causes,inter-individual variability
integrity of BBB function,is the cause of,inter-individual variability
YKL-40,tends to show relatively strong,inter-tissue associations
impact,was potentially due to,interaction between Apolipoprotein E ε4 and sleep disturbances
extent and distribution of future tau accumulation,can be predicted by,"interaction of baseline connectivity, AD pathology, and genetic risk"
AD,was developed by,interaction with APOE ε4
development of AD,was influenced by,interaction with APOE ε4
phosphorylation state of Tau,are presumably influenced by,interactions between Tau and Tau partners
phosphorylation-dependent changes,in,interactions between Tau and Tau partners
pathways,were associated with,intercept
their accessibility,is due to,interest
tau aggregation,occurs through,intermediate condensation phase
activity of ASAP1,influences,internalization of tau seeds into microtubules
comorbidities,complicate,interpretation of NfL's prognostic value
sleep-wake cycle,influence,interstitial and cerebrospinal fluid (CSF) tau levels
it,did not predict,intervention effects
it,did not detect,intervention effects
changes,were not due to,intracellular tau aggregates
extracellular Tau aggregates,were found to cause,intracellular Tau aggregation
extracellular Tau aggregates,cause,intracellular Tau aggregation
upregulation of the unconventional protein secretion pathway,led to,intracellular tau dephosphorylation
Alzheimer's disease (AD),is pathologically defined by,intracellular tau neurofibrillary tangles
disruption,was caused by,intracerebral injection of synaptotoxic tau
data,were used to investigate,intrinsic causal relationship between blood BMTs and brain image-derived phenotypes (IDPs)
clinical implementation,particularly with,introduction of disease-modifying therapies
Alzheimer's disease and cancer,is reported to be,inverse
primary causal conclusions,were obtained using,inverse variance weighted approach (IVW)
researchers or investigators,utilized,inverse variance-weighted method
TAP-TAU study,aim of,investigate the impact of tau-PET in clinical practice
blood OCN levels,causal effects of,investigated
results,support,involvement of bioenergetic pathways in mediating the impact of Apolipoprotein E on aging
researchers or authors,investigated,involvement of different cell types
"binding to phosphatidylinositol 4,5-bisphosphate (PIP2)",led to,involvement of syndecan 3
proteins associated with incident LOAD group,includes,IRF6
proteins associated with incident LOAD group,include,IRF6
autophagic degradation of ferritin,causes,iron-dependent lipid peroxidation
ferritinophagy,causes,iron-dependent lipid peroxidation
Body mass index indicators,causal relationship was found between,IS
male vulnerability,was associated with,IS
peripheral confounders,influence of,is accounted for
this syndrome,is associated with,ischemia/hypoxia
AD,did not have a causal effect on,ischemic heart disease
Accelerated BioAge,is a good biomarker for,ischemic stroke
OR(IVW)=1.08 [95% CI=0.96-1.22],for,Ischemic stroke risk
Sleep apnea,has significant causal effect on,Ischemic stroke risk
Alzheimer's disease peptides,is associated with,it
biomarkers causal relationships,are challenging to elucidate,it
changes in volumes,predicted,it
changes in volumes of Alzheimer's disease ROI,predicted,it
combination of genetic and environmental factors,is a result of,it
improved hippocampal synaptic plasticity,was associated with,it
medial and lateral temporal tau load,is not directly via,it
medial and lateral temporal tau load,is not,it
modulators of Aβ-related p-tau increases,characterize,it
predictive performance of MRI,can be improved,it
those with no apparent cause,identify,it
Causality-aware Genotype intermediate Phenotype Correlation Approach,is better because,it has built-in interpretability
integrin proteins,include,ITGAM
integrin proteins,include,ITGAV
decrease,is due to,its anti-Aβ oligomer action
expressions of CR1,were potentially causal for,"its biomarkers, A$eta $42 and pTau"
biomarker,is due to,its close association with tau pathology
APOE ε4 carriership,is partly due to,its direct effect
LPCAT2 variants,influenced,its expression
risk of FTD,was associated with,its four subtypes
APOE,is crucial to,its functional impact
ε3 allele,is crucial to,its functional impact
Aβ deposition,are affected by,its impact
grey matter volume,are affected by,its impact
risk factors,modulate,its impact on both Aβ deposition and grey matter volume
functional impact of APOE and ε3 allele,is crucial to,its importance
Alzheimer's disease reversibility,is due to,its lack of pathological effects
its high debt,was caused by,its low cash flow
Ng,due to,its low incongruency with tau pathophysiology
Ng,is not optimal due to,its low incongruency with tau pathophysiology
Aβ modifications,contribute to,its pathogenic profile
post-translational Aβ modifications,contribute to,its pathogenic profile
Aβ modifications,contribute to,its pathogenic profile in other types of dementia
rACC tau,did not predict,its trajectory over time
this,led to,its withdrawal
Amyloid,has an impact on,itself
Neurodegeneration,has an impact on,itself
sex,has an impact on,itself
male vulnerability,was associated with,IV
strict IV selecting thresholds,on the basis of,IVW identified significant causal associations
shift,has led to,job creation
phosphorylation of hyperphosphorylated tau proteins,is caused by,Kallistatin
marked haplotype-dependent difference,in,KANSL1 expression
predicted microbial functional potential,was based on,KEGG Orthologs
bioavailable testosterone,may be,key factor in reducing the risk of developing ALS
anti-Aβ antibody treatments,associated with,key risk
risk,was associated with,kidney disease
predictive model,accounted for,kidney dysfunction
Baseline Aβ42/40,was associated with,Knight ADRC
baseline plasma p-tau217,was associated with,Knight ADRC
optPRS,in,Korean individuals
optPRS,predict,Korean individuals
excluding these cases from treatment with anti-amyloid antibody,is justifiable,lack of clinical efficacy
therapies,were limited due to,lack of direct correlation with clinical outcomes
use of the therapies,was limited,lack of direct correlation with clinical outcomes
model,due to,lack of pathological effects
distinct behavior,assessed using,language and cognitive profiles
Typicality,was associated with,language scores
"Q351, H362, and K369",involved in,lansoprazole and C-shaped tau filaments
inter-individual variability,is caused by,large degree
inter-individual variability,is due to,large degree and susceptibility
instrumental single-nucleotide polymorphisms,were filtered and selected from,large genome-wide association study
single-nucleotide polymorphisms,were filtered and selected from,large genome-wide association study of plasma proteome
cholesterol esters,in,large LDL
studies,have shown that,large number of genetic and environmental factors
these associations,remains,largely uncertain
these associations,are causal,largely uncertain
pathways associated with cognition,showed,larger number of pathways
higher neurogranin,associated with,larger TBF volume
higher p-tau,associated with,larger TBF volume
higher t-tau,associated with,larger TBF volume
lower β-amyloid scores,were associated with,larger ventricular volume
non-APOE ε4 carriers,are not affected by,largest genetic risk factor
eliminating diabetes,yielded,largest predicted improvements
eliminating diabetes and hypertension,yielded,largest predicted improvements
eliminating hypertension,yielded,largest predicted improvements
over 40% of proteins,were associated with,late onset Alzheimer's disease
obesity,depends on whether it is assessed in,late-life
"mid- to late-life (20-year) trajectory of one protein, CAT",was associated with,late-life Aβ-positive status
Apolipoprotein ε4,influence on,late-life cognition
low IQ,influence on,late-life cognition
APOE genotype,causes,late-onset Alzheimer's disease
genetically predicted cholesterol,reduced by,Late-Onset Alzheimer's Disease
phosphatidylcholine (pc) (18:1_0:0),increases the risk of,late-onset alzheimer's disease
Phosphatidylcholine (PC) (18:1_0:0),increase the risk of,Late-Onset Alzheimer's Disease
longitudinal cortical atrophy,in,late-onset Alzheimer's disease cohort
improved patient follow-up,would lead to,late-onset disease prevention
human apolipoprotein E genotypes,are associated with,late-onset sporadic Alzheimer's disease
Human apolipoprotein E genotypes,are linked to,late-onset sporadic Alzheimer's disease
other phosphorylated tau,are associated with,later stages of brain tau pathology
tau fragment species,are associated with,later stages of brain tau pathology
CSF profiles,be associated with,later-onset AD
CSF profiles,may be associated with,later-onset AD
high-amyloid CSF profiles,may be associated with,later-onset AD
High-amyloid CSF profiles,may be associated with,later-onset AD
genetic variants,used as,latest
genetic variants,associated with,latest AD summary statistics
Aβ deposition,in,LBD
ERBB4 signaling and lipid metabolism,may mediate the causal association between,LBD and colon cancer
nearby gene APOE,possibly shared causal variants,LBD and colon cancer
colocalization and pathway enrichment analysis,suggested,LBD and colon cancer possibly shared causal variants
colocalization and pathway enrichment analysis,suggested that,LBD and colon cancer possibly shared causal variants (nearby gene APOE)
colocalization and pathway enrichment analysis,suggested that,LBD and colon cancer possibly shared causal variants (nearby gene APOE) and ERBB4 signaling and lipid metabolism may mediate the causal association between LBD and colon cancer
analysis,showed that,LBP caused PD
biomarkers,include,LDL
APOA1,are likely causal proteins for,LDL-C
Apolipoprotein E signal,may be associated with,LDL-cholesterol
Apolipoprotein E signal,may be associated with,LDL-cholesterol statin response
Apolipoprotein E signal,is associated with,LDL-cholesterol statin response
Apolipoprotein E signal,may therefore be associated with,LDL-cholesterol statin response
Apolipoprotein E signal,be associated with,LDL-cholesterol statin response
mechanisms,by which,lead affects neurodevelopment
pro-inflammatory impact,was due to,leaky gut
Clarity AD phase III trial,showed that,lecanemab resulted in a smaller decline on measures of cognition and function
FTP-PET signal,in,left-dominant fronto-temporal pattern
how tau pathology independently contributes,is known,less
AGB101,is associated with,less Clinical Dementia Rating Sum of Boxes decline
slowing entorhinal cortex atrophy,is associated with,less Clinical Dementia Rating Sum of Boxes decline
lecanemab,resulted in,less decline on measures of cognition and function
statins,were associated with,less demented d-scores in non-ε4 carriers
ApoE4-noncarriers,accumulated,less β-amyloid
biomarker definitions,offer,less predictive value
some biomarker definitions,potentially offer,less predictive value
some biomarker definitions,offer,less predictive value
some biomarker definitions,potentially offer,less predictive value than others
those with somatic comorbidities and Psy,have a trend towards,less steep cognitive decline
Other MARKs,cause,less tau toxicity
high estimated cardiorespiratory fitness,is associated with,lesser likelihood of becoming Alzheimer's disease biomarker positive
proteins,were associated with,level of cerebrospinal fluid Aβ-42
causes of depressive symptoms,may vary depending on,level of cognitive impairment
underlying causes of depressive symptoms,may vary depending on,level of cognitive impairment
proteins,were associated with,level of p-Tau
cognitive decline,were not associated with,levels
incident cognitive impairment,were not associated with,levels
proteins,were associated with,levels
multiplex antibody-based suspension bead array,to measure,levels of 49 proteins
onset of MCI,was associated with,levels of blood biomarkers
time to onset of MCI,was associated with,levels of blood biomarkers
cognitive decline,were associated with,levels of plasma NfL and GFAP
incident cognitive impairment,were associated with,levels of plasma NfL and GFAP
decrease in CBF and GM volume,can be predicted by,levels of specific plasma biomarkers
decreased CBF and GM volume in regions vulnerable to AD,could be predicted by,levels of specific plasma biomarkers
effects of AD pathology,are associated with,levels of tau pathology
AD,associated with,levels of the plasma proteins
Alzheimer's disease,is associated with,levodopa/carbidopa medication
neuropathologies,include,Lewy bodies
Alzheimer's disease,is associated with,Lewy body co-pathology
mature tau,is negatively associated with,Lewy body dementia
α-synuclein patterns,were associated with,Lewy body dementia
risk of dementia,is associated with,Lewy body dementia
higher CSF IL-6 and IL-8/CXCL8,is associated with,LGI1-AE
APOE ε4 allele status,impacts,likelihood of side effects from anti-amyloid beta antibody treatment
impact on employment rates,will be,limited
"tertiles (low, intermediate, and high)",analyzed using,linear mixed model (LMM)
ancestral background,significantly impacts,link between APOE and AD
ancestral background,may significantly impact,link between APOE and AD
regression analysis,explore,"link between participants' clinical trial experiences, their satisfaction, and their willingness to participate in upcoming trials"
deep predictive neural network,is built to,link neurological examinations with clinical profiles
data,related to,lipid metabolism
ERBB4 signaling,may mediate the causal association between,lipid metabolism
it,influences,lipid metabolism
Alzheimer's disease,is caused by,lipid metabolites
e2 allele of the Apolipoprotein E Apolipoprotein E e2 allele gene,is associated with,lipid metabolites
serum,contained,"lipid species, amino acids, biogenic amines"
complex protein regulation network,influenced,lipid traits
Probucol,can lower,lipids
administration,included,Lipocalin-2 mechanism
biomarkers,include,lipoprotein A
Mendelian randomization,uncovered,"little causal association between traumatic brain injury and PD, AD, depression, pneumonia, and gastrointestinal diseases"
Mendelian randomization results,uncovered,"little causal association between traumatic brain injury and PD, AD, depression, pneumonia, and gastrointestinal diseases"
traumatic brain injury,was found to have,"little causal association with PD, AD, depression, pneumonia, and gastrointestinal diseases"
Application of WZ4003,to,live human brain slice cultures
AD diagnosis,is associated with,liver enzymes
Alzheimer's disease,is influenced by,liver function
CX3CL1,is associated with,LOAD
genetic relationship with LOAD,offer protection against,LOAD
hepatocyte growth factor (hgf),is associated with,load
new biomarkers,offer protection against,LOAD
TIE2,is associated with,LOAD
plasma HGF,has a negative causal relationship with,LOAD liability
genetic relationship with LOAD,contribute to,LOAD pathology
new biomarkers,contribute to,LOAD pathology
amyloid pathology,was associated with,lobar CMBs
APOE ε4 copy number,was associated with,lobar CMBs
genetic variants proxying IL-6 inhibition,are associated with,lobar ICH risk
cerebral amyloid angiopathy,is a major cause of,lobar intracerebral hemorrhage
higher C-reactive protein (CRP),is associated with,lobar intracerebral hemorrhage (ICH)
tau-positive vessels,are associated with,local areas of increased tau neurofibrillary tangles
neocortical tau accumulation,is associated with,locations
neocortical tau accumulation,in,locations
proposed PSSN,predicts,long-term biomarker trajectories
Alzheimer's disease,has synergistic impact on,long-term cognitive decline
neurodegenerative pathology,synergistic impact on,long-term cognitive decline
white matter injury,has synergistic impact on,long-term cognitive decline
white matter injury,synergistic impact on,long-term cognitive decline
biological model,predicts,long-term evolution trajectories
limited research,has examined,long-term impact of variable BP on cognition and brain structure
etiologic agent of SARS-CoV-2 infection,is also the cause of,long-term neurological effects
Alzheimer biomarker p-tau231,to predict,long-term neurological outcomes
biomarker,studied,long-term neurological outcomes
biomarker,was studied to predict,long-term neurological outcomes
biomarker p-tau231,to predict,long-term neurological outcomes
patients,were studied to predict,long-term neurological outcomes
patients who had survived a cardiac arrest,to predict,long-term neurological outcomes
patients who survived to intensive care,predict,long-term neurological outcomes
patients who survived to intensive care,were studied to predict,long-term neurological outcomes
promising Alzheimer biomarker plasma tau phosphorylated at threonine 231 (p-tau231),to predict,long-term neurological outcomes
purpose,was to predict,long-term neurological outcomes
the patients,predict,long-term neurological outcomes
brain-derived tau in CSF,are associated with,long-term outcome and disease severity in Guillain-Barré syndrome
brain-derived tau in serum,are associated with,long-term outcome and disease severity in Guillain-Barré syndrome
influence of Apolipoprotein E with ε2 allele,imparts,longevity benefits
ε2 allele of Apolipoprotein E,potentially imparts,longevity benefits
white matter degeneration,does not influence,longitudinal Alzheimer's disease increase
plasma proteins,associated with,longitudinal Aβ accumulation
Baseline Aβ42/40,was associated with,longitudinal Aβ-PET
baseline plasma p-tau217,was associated with,longitudinal Aβ-PET
baseline plasma p-tau181,did not predict,longitudinal atrophy of hippocampal formation structures
baseline plasma p-tau181,did not predict,longitudinal atrophy of hippocampal subfields across diagnostic groups
causal model of Alzheimer's Disease progression,can be personalized,longitudinal biomarker data
personalize a causal model of Alzheimer's Disease progression,using,longitudinal biomarker data
plasma leptin levels,were not significantly associated with,longitudinal change of Aβ deposition
longitudinal change of synaptic density,was negatively associated with,longitudinal change of tau burden
regions in the MRI image,where,longitudinal changes are contributing to temporal inference
plasma NfL,was associated with,longitudinal changes in ADAS-Cog scores
Aβ,influences,longitudinal changes in cognition
cross-sectional β-amyloid (Aβ),has influence on,longitudinal changes in cognition
cross-sectional β-amyloid (Aβ),influence of,longitudinal changes in cognition
baseline p-tau217,associated with,longitudinal changes in DS-MSE
GFAP,associated with,longitudinal changes in DS-MSE
NfL,associated with,longitudinal changes in DS-MSE
t-tau,associated with,longitudinal changes in DS-MSE
baseline flortaucipir F 18 PET regional patterns,associated with,longitudinal changes in each cognitive domain
APOE4 allele,is minimally associated with,longitudinal changes in soluble or insoluble p-tau levels
Baseline Neurofilament light chain levels,are associated with,longitudinal clinical decline
Neurofilament light chain levels,are associated with,longitudinal clinical decline
AD clinical stage transition,is associated with,longitudinal cognition
hippocampal atrophy,is associated with,longitudinal cognition
neurodegenerative biomarkers,were associated with,longitudinal cognitive change
linear mixed model (LMM),to predict,longitudinal cognitive changes
baseline tau,were associated with,longitudinal cognitive decline
category,is for,longitudinal cognitive decline
longitudinal change in SV2A,were associated with,longitudinal cognitive decline
longitudinal change of synaptic density,was positively associated with,longitudinal cognitive decline
longitudinal synaptic loss,was positively associated with,longitudinal cognitive decline
modifiable risk factors of dementia,are associated with,longitudinal cognitive decline
Plasma NfL,predicted,longitudinal cognitive decline
these biomarkers,can be used to predict,longitudinal cognitive decline
three categories,among,longitudinal cognitive decline
modified framework,was tested to predict,longitudinal cognitive decline in Parkinson disease
APOE ε4 status,was associated with,longitudinal cortical atrophy
longitudinal hippocampal atrophy,was associated with,longitudinal cortical thinning in AD signature regions
baseline Aβ42/40,was positively associated with,longitudinal CSF Aβ42/40
baseline p-tau217,was negatively associated with,longitudinal CSF Aβ42/40
Longitudinal Aβ-PET,was associated with,longitudinal CSF Aβ42/40
disease mechanisms,may be influenced by,longitudinal heterogeneous changes in Alzheimer's disease
genetic pathways,influence,longitudinal heterogeneous changes in Alzheimer's disease
pathways,influence,longitudinal heterogeneous changes in Alzheimer's disease
potential therapeutic targets,may be influenced by,longitudinal heterogeneous changes in Alzheimer's disease
Alzheimer's disease,may be influenced by,longitudinal heterogeneous changes in the pathways
linear mixed-effects models,examined,longitudinal impact of obesity status on blood biomarker and Centiloids
progressive gray matter volume loss,predicted,longitudinal impairment in language fluency
baseline plasma biomarkers,were associated with,longitudinal increases in Aβ deposition
baseline tau deposition,was associated with,longitudinal memory decline
baseline periventricular diffusivity,can predict,longitudinal Mini-Mental State Examination decline Alzheimer's disease
causal links,is essential to,longitudinal studies with systematic follow-ups
baseline tau,was predictive for,longitudinal SV2A loss
baseline tau,was negatively associated with,longitudinal SV2A loss in early Braak regions
Tau pathology and plasma GFAP,could predict,longitudinal synapse loss and cognitive decline
GFAP,could predict,longitudinal synaptic loss
plasma phosphorylated tau181,could predict,longitudinal synaptic loss
Tau burden,could predict,longitudinal synaptic loss
interaction,resulted in,longitudinal tau accumulation
longitudinal synaptic loss,was negatively associated with,longitudinal tau deposition
sex,influences,longitudinal trajectories of plasma Alzheimer's disease
fifty-two pathways,were associated with,longitudinal trajectory and intercept
Alzheimer's disease mice,exhibited,loss of cholinergic markers
age-related increases in cerebrospinal fluid total-tau,lead to,loss of diagnostic accuracy
age-related increases in neurofilament light chain,lead to,loss of diagnostic accuracy
higher risk of Alzheimer's disease in female individuals,is associated with,loss of estradiol
studies,resulted in,loss of information on the extent of discordance
use of binary cutoffs,resulted in,loss of information on the extent of discordance
disruption,leads to,loss of neural connectivity
greater cognitive decline,for,Low Aβ(42)
progression to MCI,associated with,low CSF Aβ42:Aβ40 ratio
those who were not ApoE4-carriers,compared with,low physical activity
high-molecular-weight p-tau assays,detect,low-molecular-weight p-tau
genetically predicted higher mtDNAcn,is causally associated with,lower AD and PD risk
genetically predicted higher mtDNAcn,is causally associated with,lower AD risk
KLOTHO-VS heterozygosity,is associated with,lower Alzheimer's disease biomarker burden
extensive PVS burden in white matter,was associated with,lower Alzheimer's disease risk
lower concentrations of plasma Aβ peptides,may lead to,lower Alzheimer's disease risk
lower concentrations of plasma Aβ peptides,may be associated with,lower Alzheimer's disease risk
lower concentrations of plasma Aβ peptides,associated with,lower Alzheimer's disease risk
mosaicism in Down syndrome,associated with,lower Alzheimer's disease risk
lower estimated glomerular filtration rate (eGFR),was associated with,lower amyloid beta (Aβ)42/tau ratio
APOE ε4,is associated with,lower Aβ(1-42) level
Greater protein-based risk,was associated with,lower Aβ(42/40) levels
greater protein-based risk,was associated with,lower Aβ(42/40) levels
lower estimated glomerular filtration rate (eGFR),was associated with,lower Aβ42
it,is associated with,lower brain beta-amyloid
Hcy,was associated with,lower brain parenchymal fraction
higher C-reactive protein levels,were associated with,lower cerebral glucose metabolism in AD-signature regions
APOE2 allele,is associated with,lower CNS amyloid burden
arterial stiffness reflected by higher pulse wave velocity,is associated with,lower cognition
higher arterial stiffness,is associated with,lower cognition
higher pulse wave velocity,is associated with,lower cognition
lower arterial stiffness,is associated with,lower cognition
greater plasma p-tau181,was associated with,lower cognition across most domains
higher pulse wave velocity,has been associated with,lower cognition cross-sectionally
higher neurofilament light chain,were associated with,lower cognitive performance
higher plasma neurofilament light chain,was associated with,lower cognitive performance
higher plasma total tau,was associated with,lower cognitive performance
higher plasma total tau,were associated with,lower cognitive performance
lower plasma Aβ42/40,was significantly associated with,lower Community Screening Interview for Dementia scores
shorter parental onset of dementia,predicted,lower CSF Aβ1-42 level
minor allele of rs34294852,was associated with,lower CSF GPX3
physical activity,is associated with,lower dementia risk
decrease in connectivity,was associated with,lower domain-specific cognition
basal amygdala,was associated with,lower executive function
basal and lateral amygdala,were associated with,lower executive function
basal and lateral amygdala,was associated with,lower executive function
greater depressive symptoms,were associated with,lower executive function
lateral amygdala,was associated with,lower executive function
Tau amygdala,was associated with,lower executive function
tau amygdala,was associated with,lower executive function
SNP-rs6922617,is associated with,lower FDG-PET load
lower tau,was associated with,lower frequency of categorical clinical diagnosis of dementia with Lewy bodies
TauC3 pathology,was associated with,lower frequency of categorical clinical diagnosis of dementia with Lewy bodies
lower tau,was associated with,lower frequency of dementia with Lewy bodies
TauC3 pathology,was associated with,lower frequency of dementia with Lewy bodies
lower tau,was associated with,lower frequency of the diagnosis of dementia with Lewy bodies
