E1,Relation,E2
L-pipecolic acid,influenced,cellular glucose metabolism in hepatocytes
lack,due to,oleuropein cannot be confidently used for metabolic diseases
lack of a preclinical model of Alzheimer's disease,is the critical factor that causes,this problem to remain unresolved
lack of awareness,contributes to,high prevalence of smoking-related illnesses in the country
lack of Glucagon-like receptor agonist,contributes to,CNS's incompetence
lack of observed effect,may have been due to,alternative factors
lack of observed effect,may have been due to,relatively young and healthy profile of our cohort
lack of sufficient data,because of,molecular mechanisms relating hyperglycemia to cardiovascular complications not fully understood
Lactobacillus,due to,Beneficial bacteria
Lactobacillus,elevates,levels of SCFAs
large glycaemic variability,is associated with,worse outcomes in patients with Type 2 diabetes mellitus
larger cohort,is necessary for,confirmation
larger cohort,is necessary for,findings to be significant
larger cohort,is necessary for,validation
LAYN,exhibited a negative causal relationship with,GCKR
LC-ESI-MS/MS profiling,resulted in,characterization and tentative identification of 95 metabolites' structures
LDL,associated with,decreased risk
LDL,associated with,decreased risk of liver cancer
LDL-c lowering strategies,increase the risk of developing,type 2 diabetes mellitus
LEAD,associated with,atherogenic index of plasma
lead exposure,may be associated with,obesity
leaf decoction,resulted in,increase in the level of p-IRS-1 (Tyr612)
leave-one-out analysis,was utilized to find,individual SNP associated with exposures influencing outcomes
leave-one-out analysis,assess,potential influence of individual SNPs on the MR analysis results
leave-one-out analysis,was used to evaluate,whether any single SNP significantly influenced the observed effect
leave-one-out meta-analysis,to quantify the impact of,each study
leave-one-out meta-analysis,was used to quantify,impact of each study on the overall effect size in mean difference HbA1c%
leave-one-out meta-analysis,to determine,overall effect size in mean difference HbA1c%
leave-one-out method,to estimate the impact of,individual genetic variants
left ventricular mass,is associated with,mortality from any cause
left ventricular mass index s',was linked with,all-cause mortality
left ventricular mass index s',was linked with,expanded Cardiovascular disease (CVD) mortality
left ventricular mass index s',is associated with,mortality from any cause
leukocyte infiltration,causes,macrophage activation
level,was lower than,predicted from their glycosylated hemoglobin
level of blood glucose at baseline,was between,duration of T2DM
level of hemoglobin A1c,was significantly associated with,P < 0.05
levels,indicated,compensatory hyperinsulinemia
levels,were sustained,over 4 weeks
levels of 25(OH)D at 18.48 ng/mL,were associated with,suppressed prolactin
levels of cancer antigen (CA)199,are associated with,levels of serum tumor markers
levels of hs-CRP and IL-6,change,over time
levels of SCFAs,are elevated,Artemether
levels of SCFAs,are elevated,Beneficial bacteria L
levels of SCFAs,increase due to,Beneficial bacteria Lactobacillus
levels of SCFAs,increase due to,Lactobacillus
levels of SCFAs,are elevated due to,Lactobacillus
levels of serum tumor markers of the digestive tract,associated with,levels of cancer antigen (CA)199
Lglc/Hcp,in regulating,glucose levels
Lglc/Hcp,is associated with,overall pancreatic islet function
Lglc/Hcp in OGTT,is related to,blood glucose control in type 2 diabetes mellitus with T2DM
Lglc/Hcp in OGTT,is potentially due to,overall pancreatic islet function
lifestyle,causal relationship with,inflammatory factors
lifestyle changes,have been shown to reduce,risk of developing T2DM
lifestyle factors,were not associated with,HbA1c
lifestyle factors,were not associated with,HbA1c as mediating factors
lifestyle factors,were not associated with,HbA1c in mediation analysis
lifestyle factors,were not associated with,HbA1c in regression analysis
lifestyle factors,are often influenced by,negative symptoms of schizophrenia
lifestyle intervention,has an impact on,bone health
lifestyle intervention,can have an impact on,bone health
lifestyle interventions,might predict,better metabolic outcomes
lifestyle interventions,can be predicted by,IGF-1 and IGFBP-1
lifestyle interventions,of,impacts
lifestyle interventions,offer only,modest impacts on weight and glucose control
lifestyle interventions,offer,modest impacts on weight and glucose control
lifestyle interventions,for,prevention of type 2 diabetes mellitus
lifestyle interventions,are associated with,reduced CVD risk
Lifestyle interventions,are for,T2DM patients
lifestyle interventions,for prevention of,type 2 diabetes mellitus
lifestyle interventions,offer only modest impacts on,weight and glucose control
lifestyle modification advice,including,physical activity programme
lifestyle modification advice including a physical activity programme,was associated with,"greater decreases in weight: -1.13 kg (95% CI: -2.04, -0.21; p = 0.02)"
limitation,was due to,the data
limitation,was due to,use of peripheral blood-derived single-cell data
limitations,have led to,inconsistent outcomes regarding glycaemic control
limitations,are due to,methods
limitations,due to,methods
limitations,are due to,methods used
limited efficacy of long-term insulin therapy,lead to,insulin resistance
limited efficacy of long-term insulin therapy,is the second cause of,insulin resistance
limited efficacy of long-term insulin therapy,can cause,insulin resistance
limited efficacy of long-term insulin therapy,is due to,side effects of oral hypoglycemic drugs
limited efficacy of long-term insulin therapy,due to,treatment of Type 2 diabetes mellitus
limited insights into blood glucose measurements and fluctuations,contributing to,clinical inertia
limited research,has investigated,impact of antihypertensive medications on type 2 diabetes mellitus
link,is associated with,disease
link between hypertensive disorders of pregnancy and gynecologic tumors,is inconsistent,various studies
linkage disequilibrium score regression,showed that,cardiovascular disease (CVD) was significantly genetically associated with COPD
lipid,was potentially,causal
Lipid,was potentially,causal
lipid metabolism,contributes to,cardiometabolism
lipid metabolism,may contribute to,lowering the risk of HF
lipid metabolism disorders,lead to,lipotoxicity
lipid metabolism-related inflammatory indices,are associated with,occurrence of PAD
lipid predictors at baseline,selecting,predictive power
Lipocalin-2,are associated with,early glucose metabolism abnormalities
lipotoxicity,through,oxidative stress and the inflammatory response
listed variables,associated with,development of stroke
literature,suggests,onset of cardiovascular complications
live microorganisms,are administered in,adequate amounts
live microorganisms,administered in,adequate amounts
live microorganisms,confer,health benefits to the host
liver,from,damage
liver disease,contributes to,cardiovascular risk
liver disease,contributes to,increased liver-related complications
liver enzymes,independent causal effects on,diabetic microvascular complications
liver morphology,was caused by,necrosis
liver-derived procoagulant factors,impact on,atherosclerosis
liver-derived procoagulant factors,do not appear to contribute to,atherosclerosis
liver-derived procoagulant factors,contribute to,atherosclerosis
"LME, back propagation neural network (BPNN), and mixed-effects NN models",to predict,FPG levels
"LME, back propagation neural network (BPNN), and mixed-effects NN models",combine,LME and the back propagation neural network (BPNN)
ln[ALP × Scr],showed,J-shaped association with all-cause mortality
logistic regression,with,ISSI-2
Logistic regression models,were used to estimate,risks of incident peripheral artery disease associated with LMIIs
logistic regression results,showed that,vitamin E was an independent influencing factor for insulin resistance in type 2 diabetes mellitus patients
long COVID-19,is associated with,altered metabolic status
long COVID-19,is associated with,diabetes
long COVID-19,can cause,diabetes
long time interval,is the reason it is difficult to infer,causal relationship
long time of high blood sugar,can cause,death in serious cases
long-term complications,can be predicted using,NLR
long-term effects,need to be confirmed,its impact on insulin sensitivity and metabolic health
long-term high-glucose environment,leads to,nuclear DNA damage
long-term high-glucose environment,leads to,reactive oxygen species (ROS) production
long-term impact,of,diabetes prevention
long-term inflammatory conditions,affect,different organs of the body
long-term insulin therapy,has limited efficacy,insulin resistance
long-term outcomes,need to be,predicted
longer course of Type 2 diabetes mellitus,could lead to,decrease in the abundance of probiotics
longer course of Type 2 diabetes mellitus,could lead to,decrease in the abundance of probiotics in the intestinal microbiome
longer diabetes duration,provided,additional predictive value
longer diabetes duration,associated with,dyslipidemia
longer diabetes duration,due to,longer diabetes duration
longer diabetes duration,led to,more nerve damage
longer diabetes duration,due to,progressive nerve damage over time
longer sleep duration,increased,risk of death in Young-onset T2DM
longitudinal associations,between,multiple pesticides
longitudinal associations,remain unclear,type 2 diabetes mellitus
loss of cholesterol sulfotransferase SULT2B1,may have contributed to,increased energy expenditure
loss of circulating oestrogen,led to,changes in glucose tolerance
loss of circulating oestrogen,led to,changes in insulin sensitivity
loss of circulating oestrogen,led to,dysfunctional lipid homeostasis
loss of circulating oestrogen,led to,rapid changes in GLUT4 expression
loss of cognitive capacities,leads to,gradual loss of executive capacities
loss of the PGRP-LB gene,leads to,phenotype resembling human autoinflammatory conditions
low abundance of Bacteroides,may lead to,decrease of the production of tryptophan microbial derivative skatole
low abundance of Bacteroides,may lead to,increase of blood glucose
low abundance of probiotics,can lead to,inflammatory response
low educational level,associated with,higher diabetes risk
low glucagon-like peptide-1 (GLP-1) ratio at 30 minutes,relative to,baseline
low glycemic response foods,reduce,risk of developing T2DM
low glycemic response foods,were changes to,the
low maternal Vitamin D levels,are associated with,higher GDM risk
low PNI group,compared to,other groups
low postnatal diabetes screening rates,may be due to,lack of awareness of gestational diabetes mellitus status
low postnatal diabetes screening rates,due to,women with gestational diabetes mellitus not aware of their status
low probiotic abundances,is a potential consequence of,inflammatory response
low serum albumin,is a predictive factor in,patients with cardiovascular diseases
low tooth brushing frequency,is a predictive factor for,higher risk
low-density lipoprotein,was associated with,higher incidence of urine ACR
low-density lipoprotein cholesterol (LDL-C),associated with,GLP1R agonism
low-density lipoprotein cholesterol (LDL-C),associated with,HF
low-density lipoproteins,were inversely associated with,endometrial carcinoma
low-density lipoproteins,were associated with,OR of 0.91
low-grade inflammation,is caused by,increased production of pro-inflammatory cytokines and adipokines
lower baseline Insulin-like growth factor binding protein 1 levels,were associated with,greater improvements
lower extremity peripheral artery disease,is a cause of,disability
lower extremity peripheral artery disease,is a cause of,mortality
Lower extremity peripheral artery disease,risk of,TyG index
lower glycemic index,may be due to,benefits of Parboiled rice
Lower Insulin-like growth factor 1 levels,were associated with,less favorable changes
lower levels of Insulin-like growth factor 1,were associated with,less favorable changes
lower odds of E3/E4 and E4/E4 genotypes,among,obese cases with T2DM
lower risk of developing CMM,is partially mediated by,reductions in IR and inflammation
lower serum IGFBP-3 levels,are associated with,shorter duration of education
lower serum IGFBP-3 levels,are associated with,T2DM-MCI
lower socioeconomic status,associated with,higher diabetes risk
lowered motivation,can result in,poor adherence
lowering NLRP3 expression,reduces,inflammation in T2DM patients
LPD,is associated with,inflammation
LPD,can improve,sleep quality in patients with T2DM without depression
LRa05,with,hypoglycemic medications
LRa05 with hypoglycemic medications,are explored to impact,glycemic control
LRa05 with hypoglycemic medications,are explored to,impact glycemic control
LRa05 with hypoglycemic medications,are explored to impact,intestinal flora
machine learning models,incorporating,connectivity features
machine learning models,were developed for,predicting 1-year all-cause mortality in the training cohort
machine learning models incorporating connectivity features,were developed to,classify Type 2 diabetes mellitus brains and predict disease duration
macrophage activation,contributes to,metabolic disease
Macrophage colony-stimulating factor 1 levels,are associated with,increased risk of T2DM
macrophage infiltration,inhibiting,Kv1.3 blockers
Macrophage Kv1.3 channels,of,BPH female mice
Macrophage Kv1.3 channels,did not contribute to,metabolic profile
Macrophage Kv1.3 channels,did not contribute to,phagocytosis
Macrophages,infiltrating,adipose tissue
Macrophages infiltrating adipose tissue,contribute to,chronic low-grade inflammation
macrophages infiltrating adipose tissue,contribute to,chronic low-grade inflammation
macrophages infiltrating adipose tissue,cause,insulin resistance
magnesium deficiency,significantly impacts,metabolic profile of T2DM patients in Riyadh
magnitude,of,effect
main goals,to reduce,risk of long-term
maintaining high LE8 scores,is associated with,lower risk of developing CMM
maintaining high LE8 scores,leads to,lower risk of developing CMM
maintaining high LE8 scores,results in,lower risk of developing CMM
maintaining high LE8 scores,is partially mediated by,reductions in IR and inflammation
maintaining stable glycemic levels,among,individuals with or without T2DM
maintaining stable glycemic levels,may reduce,risk of cognitive decline
maintaining sufficient muscle mass,may reduce,risk of ischemic stroke
major adverse cardiac and cerebrovascular events (MACCE),were the primary outcome,"all-cause mortality, nonfatal myocardial infarction (MI), and nonfatal strokes"
major adverse cardiovascular and cerebrovascular events,were defined as,the composite of all-cause mortality
major cause,of,significant morbidity and mortality
major diseases,cause,death
major risk factors,does not predict,DR pathogenesis in the clinic
majority of the population,is unaware of,risks associated with smoking
majority of these drugs,have shown,promising results in clinical trials
male participants' AT power,was associated with,new-onset diabetes
male rats,causes,infertility
male sex,associated with,increased mortality
malignancy,increase the risk of,cardiovascular complications
managing diabetes mellitus,lead to,better
managing diabetes mellitus,lead to,managing its complications
Mannose,has strong causal association with,T2DM
many circumstances,include,when other agents are less desirable
many significant complications,impact,patients' quality of life
mapped genes,have causal associations with,diseases
marker,reflects,inflammation
marker,reflects,insulin resistance
marker,has been associated with,poor prognosis
markers,were of,cardio-predictive
markers,are associated with,prediabetes patients
markers,were of,predictive
markers,are associated with,T2DM patients
MASLD,causes,heart failure with preserved ejection fraction
MASLD,is associated with,hyperlipidemia
MASLD,is associated with,obesity
MASLD,is associated with,T2DM
MASLD,is caused by,the disease
maternal high glucose,is associated with,offspring susceptibility to type 2 diabetes mellitus
maternal preconception hyperglycaemia,causes,effect on glucolipid metabolism in the offspring
maternal preconception hyperglycaemia,causes,mechanism's action on glucolipid metabolism in the offspring
maternal preconception hyperglycaemia,is the cause of,mechanism's effect on glucolipid metabolism in the offspring
maternal preconception hyperglycaemia,causes,mechanism's effect on glucolipid metabolism in the offspring
maternal preconception hyperglycaemia,causes,mechanism's impact on glucolipid metabolism in the offspring
maternal preconception hyperglycaemia,causes,mechanism's influence on glucolipid metabolism in the offspring
maternal Vitamin D supplementation,has a positive impact on,pregnant women's health
May,be a,promising candidate drug for cognitive impairment
Mazdutide,has been shown to reduce,comorbidities associated with obesity
Mazdutide,is associated with,mitigating cognitive deficits
Mazdutide,is associated with,something
Mazdutide,is associated with,something else
mean score,of,studies
meaningful entities,includes,"nouns, noun phrases, proper nouns, concepts"
"measurements of 25-hydroxyvitamin D, VK1, and VK2",could have,predictive value for T2DM
"measurements of 25-hydroxyvitamin D, VK1, and VK2",could have predictive value for,T2DM
measures,are associated with,vitiligo
mechanism,leads to,cardiomyopathy
mechanism,leads to,diabetes
mechanism's action,on,glucolipid metabolism in the offspring
mechanism's effect,on,glucolipid metabolism in the offspring
mechanism's influence,on,glucolipid metabolism in the offspring
mechanisms,are not understood,because of the lack of sufficient epidemiological data
mechanisms,relating,hyperglycemia to cardiovascular complications
mechanisms,between,T2DM and IBD/UC
mechanisms contributing to the pathogenesis of pancreatic beta-cell dysfunction,have not been completely,elucidated
mechanisms of Intranasal insulin effects,on,resting-state functional connectivity
mechanisms of Intranasal insulin effects on resting-state functional connectivity,require,validation in a larger trial
mechanisms of the impact of exercise,on,insulin sensitivity
mechanisms of the impact of exercise,on,lipid metabolism
mechanistic target of rapamycin,is associated with,insulin resistance
median UACR,at,baseline
mediating effect of Echocardiographic measurements of cardiac structure and function,in the association of,Glucose variability with all-cause and cardiovascular mortality
mediation analysis,indicated,hypertension may mediate causal pathways from mood swings to stroke
Mediation analysis,was employed to examine,potential mediating impacts
mediation analysis,indicated that,serum vitamin D accounted for 24.3% of the association between the composite biomarker and all-cause mortality
mediation MR,used to investigate,genetic causal relationship of Sarcopenia and 11 respiratory diseases
mediation MR analysis,investigated,genetic causal relationship of Sarcopenia and 11 respiratory diseases
mediators,cause,cerebrovascular damage
medically tailored meals (MTM),with,medical nutrition therapy (MNT)
medically tailored meals (MTM) with medical nutrition therapy (MNT),on,clinical outcomes among adults with DM
medications,impact on,GFR decline
medications,impact of,GFR decline
medications,impact on,mortality rate
medications,impact of,mortality rate
Mediterranean diet,on,gut microbiota
melatonin,is related to,glucose and insulin homeostasis
melatonin,is related to,glucose homeostasis
melatonin,is related to,insulin homeostasis
melatonin,is related to,night work
MemAID trial,was associated with,increased mPFC-basal ganglia resting-state
MemAID trial,was associated with,increased mPFC-basal ganglia resting-state functional connectivity
memory and cognitive impairment,have emerged as,significant comorbidities associated with diabetes
Mendelian randomization,provided evidence for,causal association
Mendelian randomization,is used in,evaluating the causal impact of these factors on stroke
Mendelian randomization,used to,examine the intermediary roles of risk factors associated with pancreatitis
Mendelian randomization,utilized to investigate,potential causal effects of metabolites on the outcomes of pancreatitis
Mendelian randomization,used to examine,potential causal effects of metabolites on the outcomes of pancreatitis
mendelian randomization (MR),used to assess,causal impact of type 2 diabetes mellitus on hypertrophic scars
Mendelian randomization (MR),to investigate,causal link between Type 2 diabetes mellitus and IBD
Mendelian randomization (MR),was used to evaluate,causal relationship between HDL-C and T2DM
Mendelian randomization (MR),utilized to predict,causal relationships of EA with hypertension
Mendelian randomization (MR),utilized to predict,causal relationships of EA with hypertension and type-2 type-2 diabetes (T2DM)
Mendelian randomization (MR),was employed to,evaluate potential causal associations
Mendelian randomization (MR),through,investigate causal relationship between diabetes and gangrene
Mendelian randomization (MR) analysis,employed,investigate the potential causal association
Mendelian randomization (MR) method,investigate,potential causal associations of Blood glucose indexes with epilepsy
Mendelian randomization (MR) method,investigate,potential causal associations of Diabetes mellitus and Blood glucose indexes with epilepsy
Mendelian randomization (MR) method,to investigate,potential causal associations of Diabetes mellitus and Blood glucose indexes with epilepsy
Mendelian randomization (MR) method,investigate,potential causal associations of Diabetes mellitus with epilepsy
Mendelian randomization (MR) studies,were conducted to explore,causal relationship between type 2 diabetes mellitus and pancreatic cancer
Mendelian randomization (MR) study,aims to clarify,potential impact of antidiabetic drugs on the risk male infertility
Mendelian randomization analyses,to evaluate,causal relationship between Appendicular lean mass and the risk of stroke and Alzheimer's disease
Mendelian randomization analyses,provided evidence of,unidirectional causal relationship between type 2 diabetes mellitus and gallstone disease
Mendelian randomization analysis,supported,bidirectional causal relationship
Mendelian randomization analysis,was used to investigate,causal relationship between Type 2 diabetes mellitus and Nonalcoholic fatty liver disease
Mendelian randomization analysis,determine if,these factors influence MS risk
Mendelian randomization approach,utilized to,assess the influence of hypertensive disorders of pregnancy
Mendelian randomization approach,utilized,influence of hypertensive disorders
Mendelian randomization method,indicated,significantly positive unidirectional causal relationship between Type 2 diabetes mellitus and Nonalcoholic fatty liver disease
mendelian randomization methodology,comprehensively examine,influence of metabolites in circulation
Mendelian randomization methods,used to,clarify Type 2 diabetes mellitus causal relationship and mechanisms
Mendelian randomization study,did not support,causal effect of mtDNA copy number in the development of cardiometabolic disease
mendelian randomization study,was used to investigate,potential protective and risk elements associated with endometrial cancer
menopausal hormone therapy,reducing the risk of developing,type 2 diabetes mellitus in menopausal women
meta-analysis,was to evaluate,CRP in T2DM due to statins
meta-analysis,aim of,evaluate CIMT progression due to statins
meta-analysis,aim of,evaluate CRP in T2DM due to statins
meta-analysis,showed that,first acupuncture intervention
meta-analysis,aims to evaluate,impact of allulose on blood glucose levels in patients with type 2 diabetes mellitus (T2DM)
meta-analysis,aimed to evaluate,impact of myricetin supplementation on glucose metabolism and lipid profiles in mouse models of metabolic diseases
meta-analysis,evaluates,impact of these supplements on inflammatory cytokines in adults with prediabetes and type 2 diabetes mellitus (T2DM)
meta-analysis,aimed to evaluate,influences of Dipeptidyl peptidase-4 inhibitors on alanine aminotransferase (ALT) and aspartate aminotransferase (AST)
meta-analysis,found,no significant causal link between Type 2 diabetes mellitus and Alzheimer's disease
meta-analysis,was used to,quantify the impact of each study
metabolic abnormalities,cause,accumulation of fat in the liver
Metabolic abnormalities,cause,cerebrovascular injury
Metabolic abnormalities,cause,inflammation
metabolic abnormalities,are the underlying cause of,mechanisms
metabolic abnormalities,are the underlying cause of,mechanisms leading to epilepsy
metabolic alterations,linked to,high-fat diet
metabolic benefit,might have been due to,cholesterol sulfotransferase SULT2B1
metabolic challenges,are associated with,clinical manifestations of OLP
metabolic derangements,through,T2DM
metabolic disarrangement,is characterized by,increased lipid oxidation during the diurnal period
metabolic disarrangement,is characterized by,low respiratory exchange ratio (RER)
Metabolic disease phenotype,associated with,increased CD36 expression
metabolic diseases,impact of,cardio-cerebrovascular events (CCBVEs) and chronic kidney disease (CKD)
metabolic diseases,such as,diabetes mellitus (DM)
metabolic diseases,are associated with,macrovascular complications
metabolic diseases,are associated with,microvascular complications
metabolic diseases,caused by,over-nutrition
metabolic diseases,are associated with,T2DM
metabolic disorders,cause,vascular damage
metabolic disturbances,include,cardiovascular disease
metabolic disturbances,include,dyslipidemia
metabolic disturbances,include,increased risk of type 2 diabetes (T2DM)
metabolic disturbances,include,insulin resistance (IR)
metabolic dysfunction,was associated with,Insulin availability
metabolic dysfunction-associated steatotic liver disease,may cause,atherosclerosis
metabolic dysfunction-associated steatotic liver disease,is associated with,atherosclerotic cardiovascular disease
metabolic dysfunction-associated steatotic liver disease,is associated with,cardiovascular disease morbidity and mortality
metabolic dysfunction-associated steatotic liver disease,with,MASLD
metabolic dysfunction-associated steatotic liver disease,through,mixed hyperlipidemia
metabolic dysfunction-associated steatotic liver disease fibrosis,is associated with,HbA1c
metabolic dysfunction-associated steatotic liver disease fibrosis,is associated with,HOMA-IR
metabolic dysfunction-associated steatotic liver disease fibrosis,is associated with,Type 2 diabetes mellitus
metabolic dysfunction-associated steatotic liver disease with MASLD,is associated with,atherosclerotic cardiovascular disease events
metabolic dysfunctions,influence,Alzheimer's disease progression
metabolic dysregulation,had impact on,cognition
metabolic dysregulation,can lead to,higher risk of cardiovascular disease
metabolic dysregulation,was significantly associated with,higher subcortical susceptibility
metabolic dysregulation,characterised using,most predictive lipid ratio
metabolic dysregulation,causes,PTB pathogenesis
metabolic factors,include,factors
metabolic factors,impacts,semen parameters
metabolic factors,impacts of,semen parameters
metabolic imbalance,is caused by,hyperglycemia
metabolic imbalance,is caused by,insulin resistance
metabolic impacts,were further probed through,hepatocyte cellular experiments
metabolic inflammation,is associated with,incident type 2 diabetes mellitus
metabolic pathway analysis,highlighted,six significant pathways
metabolic processing of EGCG,produced,numerous epigallocatechin gallate metabolites
metabolic status,is associated with,cardiac function
metabolic status,are intimately associated with,facial and tongue features
metabolic status,is associated with,hemoglobin
metabolic status,is associated with,proportion of blood cells in Type 2 diabetes mellitus
metabolic status,is associated with,thyroid function
metabolic stress,causes,plasma glucose to rise much higher
Metabolic Syndrome,characterized by,a cluster of symptoms
metabolic syndrome,include,all-cause mortality
metabolic syndrome,has components,aortic aneurysm
metabolic syndrome,increases the risk of,cardiovascular diseases
metabolic syndrome,associated with,cardiovascular diseases
metabolic syndrome,include,cardiovascular diseases
Metabolic syndrome,link between,cardiovascular diseases
Metabolic syndrome,is not influenced by,cardiovascular diseases
metabolic syndrome,is the leading cause of,death in patients
metabolic syndrome,is the leading cause of,death in these patients
metabolic syndrome,is associated with,higher risk of mortality
metabolic syndrome,is associated with,higher risk of various health problems
metabolic syndrome,is associated with,hypertension
Metabolic Syndrome,were all associated with,increased all-cause mortality in the whole cohort
metabolic syndrome,is associated with,increased risk of various health problems
metabolic syndrome,is associated with,insulin resistance
Metabolic Syndrome,has a predictive role for,mortality in obesity
Metabolic Syndrome,have a predictive role for,mortality in obesity
Metabolic Syndrome,are predictive factors for,mortality in obesity
Metabolic syndrome,due to,other factors
metabolic syndrome,is associated with,range of other health problems
metabolic syndrome,is the leading cause of death in,these patients
metabolic syndrome,associated with,type 2 diabetes mellitus
metabolic syndrome,include,various other health problems
Metabolic Syndrome quartiles,were all associated with,increased all-cause mortality in the whole cohort
metabolism,of,effect
metabolism,had,latent effect
metabolite ratios,demonstrated,significant causal relationship with T2DM
metabolites,play a causal role in,development of T2DM
metabolites,influence,impact of SGLT2 inhibition
metabolites,have potential causal effects on,outcomes of pancreatitis
metabolites,have potential causal effects on,pancreatitis outcomes
metabolites,may contribute to,preventing and alleviating T2DM
metabolites,were with,risk factors
metabolites,were between,risk factors
metabolites and ratios,were predicted by,genetics
Metformin,due to,affordability
metformin,are causally associated with,diminished risk of EC
Metformin,was stopped,dyspepsia
metformin,causal relationship with,EC risk
metformin,results in,improved survival rates for diabetic patients with lung cancer
Metformin,leads to,improved survival rates in diabetic patients with Lung cancer
Metformin,is used,it
Metformin,is used because,it is low cost
Metformin,is due to,its affordability
metformin,is used due to,its relative safety
Metformin,is due to,its safety
metformin,associated with,lower all-cause mortality
Metformin,influences,metabolic pathways
metformin,influences,metabolic pathways
metformin,is associated with,reduced male infertility
Metformin,is associated with,risk of developing IBD
Metformin,due to,safety
Metformin monotherapy,is followed by,insulin
metformin monotherapy,with,lifestyle changes
Metformin monotherapy,is followed by,other noninsulin antihyperglycemic agents (NIAHAs)
metformin monotherapy with lifestyle changes,results in,improvement in glycated hemoglobin
metformin monotherapy with lifestyle changes,results in,improvement in plasma glucose
metformin monotherapy with lifestyle changes,results in,improvement in the WHR
Metformin plus glimepiride,was less better tolerated than,combination of Group A and Group B
Metformin plus glimepiride,had a worse lipid profile compared to,combination of Group A and Group B
Metformin use,is associated with,lower all-cause mortality
methanolic extract from the aerial parts of Cymbopogon proximus,had an impact on,Glucose Transporter-4 (GLUT4)
methanolic extract from the aerial parts of Cymbopogon proximus,had an impact on,pancreatic tumour necrosis factor-α (TNF-α)
method,is used for,predicting NAFLD in patients with type 2 diabetes mellitus
methodology,is used to elucidate,"causal associations between T2DM, medication treatments, and EC"
methods,were used to evaluate,causal association between inflammatory cytokines and DN
methods,contribute to,clinical inertia
methods,were employed to,evaluate the causal link between these metabolites and Type 2 diabetes
MetS,is associated with,AT
MetS,is associated with,T2DM
METS-IR,has not been investigated in relation to,all-cause mortality
METS-IR,be a useful predictive marker for,all-cause mortality and cancer mortality
METS-IR,may be,useful predictive marker for all-cause mortality and cancer mortality
"MetS, hypertension, fasting blood glucose and HDL-C",between,relationship
MGO production,leads to,protein glycation
MGO production,causes,protein glycation
mHealth education intervention,yielded a notably positive impact on,quality of life among T2DM patients
MHO,is associated with,type 2 diabetes mellitus
MHO/MNHO phenotypes,were associated with,high-risk diabetes scores
mice,were made,apolipoprotein E knock-in mice
mice,were made,apolipoprotein E ε3/ε3
mice,were made,apolipoprotein E ε3/ε3 apolipoprotein E knock-in mice
mice,were made,knock-in
mice,were made,knock-in mice
mice,were impacted by,something
microbial changes,offering insights into,gut microbiota signatures associated with a subtype of nephropathy
microbial changes,identified in,type 1 diabetes nephropathy
microbial changes,differed from,type 2 diabetes nephropathy
microbiota,causative link between,disease
MicroRNA levels,are associated with,Type 2 diabetes mellitus
MicroRNAs,are associated with,these pathways
microRNAs expression levels,were quantified using,quantitative real-time PCR (qRT-PCR)
midlife cardiovascular risk factors,associated with the later development of,cognitive impairment
midlife cardiovascular risk factors,associated with the later development of,dementia
midlife cardiovascular risk factors,such as,obesity
midlife cardiovascular risk factors,such as,Type 2 Diabetes (T2DM)
migraine,causes,global disability
migraine,is the cause of,global neurological disability
migraine,exert,health burdens
Migraine,causes,impairments
migraine,is caused by,increased excitability of the central nervous system
migraine,ranks as,second-leading cause of global neurological disability
migraine,causes,severe disability
migraine,causes,severe disability globally
migraine,causes,severe global impairments
migraine,causes,severe impairments
migraine,causes,severe impairments globally
migraine,causes,severe quality-of-life impairments
migraine,causes,severe worldwide disability
migraine,causes,severe worldwide impairments
Migraine,exerts,substantial health burdens
mild cognitive impairment,is associated with,something
mild cognitive impairment,is associated with,type 2 diabetes mellitus patients
mild cognitive impairment (MCI),is partly associated with,cerebrovascular lesions
misdiagnosis,to avoid,Parkinson's disease clinical practice
misdiagnosis in Parkinson's disease clinical practice,is essential to establish,causal links
Misdiagnosis in Parkinson's disease clinical practice,needs to be avoided,establishing causal links
Mito-TEMPO,led to,cardiomyocyte mechanical properties improvements
Mito-TEMPO,led to,Heart
Mito-TEMPO,led to,Heart failure with preserved ejection fraction improvements
Mito-TEMPO,led to,Heart failure with preserved ejection fraction improvements in cardiomyocyte mechanical properties
"Mito-TEMPO, HSP administration, and IL-6 inhibition",led to,Heart failure with preserved ejection fraction improvements in cardiomyocyte mechanical properties
mitochondrial dysfunction,caused,cadmium Cd
mitochondrial dysfunction,contributes to,these complications
mitophagy and mitochondrial dysfunction,caused,cadmium Cd
mixed-effects NN models,predict,FPG levels
mixed-effects NN models,combine,LME and the BPNN
mnemonic AEIOU TIPS,includes causes related to,Alcohol and acidosis
mnemonic AEIOU TIPS,includes,causes related to Alcohol and acidosis
mnemonic AEIOU TIPS,includes,causes related to Electrolytes
mnemonic AEIOU TIPS,includes,causes related to Encephalopathy
mnemonic AEIOU TIPS,includes,causes related to Insulin
mnemonic AEIOU TIPS,includes,causes related to Stroke
mnemonic AEIOU TIPS,includes,causes related to Trauma
mnemonic AEIOU TIPS,includes causes related to,Overdose
mnemonic AEIOU TIPS,includes causes related to,Underdose
mobile health (mHealth) education intervention,affects,quality of life
mode of T2DM induction,influenced,muscular adaptations
model,predicted,all-cause mortality
model,predicted,mortality due to all causes
